,winning_count,losing_count
swipe1_c_m_a,31,0
swipe2_c_m_a,31,0
swipe3_c_f_a,31,0
swipe4_c_f_a,31,0
swipe5_c_f_a,31,0
swipe6_c_m_a,31,0
swipe7_c_f_a,31,0
swipe8_c_m_a,31,0
swipe9_c_m_a,31,0
swipe10_c_f_a,31,0
swipe11_c_m_a,31,0
swipe12_c_f_a,31,0
swipe13_c_f_a,31,0
swipe14_c_m_a,31,0
swipe1_t_m_a,19,12
swipe2_t_m_a,17,14
swipe3_t_f_a,19,12
swipe4_t_f_a,26,5
swipe5_t_f_a,18,13
swipe6_t_m_a,21,10
swipe7_t_f_a,24,7
swipe8_t_m_a,22,9
swipe9_t_m_a,21,10
swipe10_t_f_a,26,5
swipe11_t_m_a,24,7
swipe12_t_f_a,17,14
swipe13_t_f_a,29,2
swipe14_t_m_a,18,13
swipe1_c_f_b,32,0
swipe2_c_f_b,32,0
swipe3_c_f_b,32,0
swipe4_c_m_b,32,0
swipe5_c_m_b,32,0
swipe6_c_f_b,32,0
swipe7_c_m_b,32,0
swipe8_c_m_b,32,0
swipe9_c_m_b,32,0
swipe10_c_f_b,32,0
swipe11_c_f_b,32,0
swipe12_c_f_b,32,0
swipe13_c_m_b,32,0
swipe14_c_m_b,32,0
swipe1_t_f_b,29,3
swipe2_t_f_b,20,12
swipe3_t_f_b,24,8
swipe4_t_m_b,22,10
swipe5_t_m_b,21,11
swipe6_t_f_b,18,14
swipe7_t_m_b,25,7
swipe8_t_m_b,23,9
swipe9_t_m_b,17,15
swipe10_t_f_b,24,8
swipe11_t_f_b,27,5
swipe12_t_f_b,19,13
swipe13_t_m_b,26,6
swipe14_t_m_b,17,15
swipe1_c_f_c,30,0
swipe2_c_m_c,30,0
swipe3_c_f_c,30,0
swipe4_c_f_c,30,0
swipe5_c_f_c,30,0
swipe6_c_m_c,30,0
swipe7_c_f_c,30,0
swipe8_c_m_c,30,0
swipe9_c_m_c,30,0
swipe10_c_f_c,30,0
swipe11_c_m_c,30,0
swipe12_c_m_c,30,0
swipe13_c_f_c,30,0
swipe14_c_m_c,30,0
swipe1_t_f_c,20,10
swipe2_t_m_c,30,0
swipe3_t_f_c,30,0
swipe4_t_f_c,22,8
swipe5_t_f_c,21,9
swipe6_t_m_c,18,12
swipe7_t_f_c,27,3
swipe8_t_m_c,18,12
swipe9_t_m_c,30,0
swipe10_t_f_c,30,0
swipe11_t_m_c,16,14
swipe12_t_m_c,22,8
swipe13_t_f_c,23,7
swipe14_t_m_c,30,0
swipe1_c_m_d,31,0
swipe2_c_m_d,31,0
swipe3_c_f_d,31,0
swipe4_c_f_d,31,0
swipe5_c_f_d,31,0
swipe6_c_f_d,31,0
swipe7_c_m_d,31,0
swipe8_c_m_d,31,0
swipe9_c_f_d,31,0
swipe10_c_m_d,31,0
swipe11_c_f_d,31,0
swipe12_c_f_d,31,0
swipe13_c_m_d,31,0
swipe14_c_m_d,31,0
swipe1_t_m_d,16,14
swipe2_t_m_d,16,14
swipe3_t_f_d,17,13
swipe4_t_f_d,30,0
swipe5_t_f_d,21,9
swipe6_t_f_d,21,9
swipe7_t_m_d,22,8
swipe8_t_m_d,24,6
swipe9_t_f_d,20,10
swipe10_t_m_d,20,10
swipe11_t_m_d,21,9
swipe12_t_f_d,30,0
swipe13_t_m_d,17,13
swipe14_t_m_d,18,12
